PoliceDepartment,UserID,user.mentioned,UserName,created_at,description,friend_count,follower_count,tff,tff_range,comention.public,comention.mention,no_mentions_inTweet,area,fav_retweet,UserLocation,PDLocation,MentionedUser.LocationTag,UserRole
detroitpolice,20783,piper,Piper Kerman,11/24/2006 19:35,Author of #1 @NYTimes bestseller Orange is the New Black: My Year in a Women's Prison @sixwords: In and out of hot water,3876,112884,29.12,>10,0,1,4,AC,3,"ohio, usa","city of detroit, mi",Non-Local,Not Identified
StocktonPolice,30973,starbucks,Starbucks Coffee,11/29/2006 19:19,"Inspiring and nurturing the human spirit‰ÛÓone person, one cup, one neighborhood at a time.",99742,11702775,117.33,>10,0,1,1,AC,10,"seattle, wa","stockton, ca, usa",Non-Local,Not Identified
NYPDnews,807095,nytimes,The New York Times,03-02-2007 20:41,"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",985,27632873,28053.68,>10,0,1,1,AC,39,new york city,new york city,Local,Not Identified
NYPDnews,2425151,facebook,Facebook,3/27/2007 7:29,Giving people the power to share and make the world more open and connected.,88,13979006,158852.34,>10,0,1,1,AC,56,"menlo park, california",new york city,Non-Local,Not Identified
PortlandPolice,2557521,espn,ESPN,3/27/2007 20:46,"We talk about sports, sports, and well ... sports.",294,28562768,97152.27,>10,0,1,3,AC,22,"bristol, ct","portland, oregon",Non-Local,Media
PortlandPolice,5652522,trimet,TriMet,4/30/2007 13:06,"Transit agency in Portland, Ore. From May 8‰ÛÒ21, we're doing a MAX improvement project on First Avenue. Service disruption info at https://t.co/GxxYiOWGIg.",6591,31206,4.73,2->10,0,1,1,AC,14,"portland, or","portland, oregon",Local,Not Identified
NYPDnews,5920532,delta,Delta,05-10-2007 04:31,"Official account of Delta Air Lines. We‰Ûªre listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.",3978,1140136,286.61,>10,0,1,4,AC,453,global,new york city,Non-Local,Not Identified
PortlandPolice,6395222,trailblazers,Trail Blazers,5/28/2007 21:42,Made in Rip City.,4444,577459,129.94,>10,0,1,2,AC,19,"portland, ore.","portland, oregon",Local,Other Sectors
StocktonPolice,6519522,redcross,American Red Cross,06-02-2007 09:36,The official Twitter account for the American Red Cross.,40211,2697050,67.07,>10,0,1,3,AC,7,"washington, dc","stockton, ca, usa",Non-Local,Not Identified
PortlandPolice,8775672,usarmy,U.S. Army,09-10-2007 01:04,"Official Twitter page of the United States Army.  (Following, RTs and links ‰äÊ endorsement)",386,845401,2190.16,>10,0,1,5,AC,47,"washington, d.c.","portland, oregon",Local,Not Identified
PortlandPolice,10126672,usmc,U.S. Marines,11-10-2007 14:16,The official Twitter account of the United States Marine Corps. The appearance of links does not constitute endorsement.,232,732816,3158.69,>10,0,1,1,AC,34,"washington, d.c.","portland, oregon",Local,Not Identified
StocktonPolice,10228272,youtube,YouTube,11/13/2007 21:43,lol watch this,931,62013226,66609.27,>10,0,1,1,AC,1,"san bruno, ca","stockton, ca, usa",Local,Not Identified
CLEpolice,11134252,gop,GOP,12/13/2007 17:15,"Updates from the Republican National Committee

#LeadRight2016",1637,688799,420.77,>10,0,1,2,AC,11,"washington, dc","cleveland, oh",Non-Local,Not Identified
sppdPIO,13000872,wcco,WCCO - CBS Minnesota,02-03-2008 05:22,"Thanks for your interest in WCCO/ CBS Minnesota - the place for local news updates! Want more WCCO? Go to @WCCOBreaking, @WCCOWeather, @WCCOetc",7315,107797,14.74,>10,0,1,1,AC,3,"minneapolis, mn","st. paul, mn",Local,Media
NYPDnews,13058772,linkedin,LinkedIn,02-04-2008 18:22,"Dream big. We‰Ûªll help you get there. You're #CloserThanYouThink. For Customer Service questions, tweet @LinkedInHelp.",1121,1245771,1111.3,>10,0,1,2,AC,33,"mountain view, ca",new york city,Non-Local,Not Identified
StocktonPolice,14116807,sharethis,ShareThis,03-10-2008 19:46,ShareThis empowers a more authentic digital experience by connecting people through the content they love across millions of sites.,4408,2136462,484.68,>10,0,1,1,AC,1,"palo alto, ca","stockton, ca, usa",Local,Not Identified
PortlandPolice,14620190,att,AT&T,05-01-2008 21:52,"Your up-to-the-minute feed for our news, products, and offers. Mobilizing Your World.",6969,755569,108.42,>10,0,1,1,AC,9,"dallas, tx","portland, oregon",Non-Local,Not Identified
PortlandPolice,14751786,pedalpalooza,Pedalpalooza,05-12-2008 23:50,"3+ weeks of bikey fun. Over 250 events, most organized by individuals. Bikers of all persuasions will find many events of interest; most are free.",962,2255,2.34,2->10,0,1,1,AC,16,"portland, or","portland, oregon",Local,Not Identified
sppdPIO,14801219,minnpost,MinnPost,5/16/2008 17:06,"Independent, member-supported journalism for Minnesota.
Subscribe to MinnPost's e-mail newsletters: http://t.co/39gqxeH3iL",3865,62495,16.17,>10,0,1,3,AC,0,"minneapolis, mn","st. paul, mn",Local,Not Identified
NYPDnews,15113565,uscg,U.S. Coast Guard,6/14/2008 2:09,"Official Twitter account for the U.S. Coast Guard. If in distress, use VHF channel 16 or dial 911.

(RT, follows ‰äÊ endorsements)",153,171361,1120.01,>10,0,1,5,AC,55,"washington, d.c.",new york city,Local,Not Identified
PortlandPolice,15224275,travelportland,Travel Portland,6/24/2008 21:33,Tweeting Portland awesomeness during normal business hours. #PDXNOW,12449,95865,7.7,2->10,0,1,5,AC,46,"portland, or","portland, oregon",Local,Other Sectors
PortlandPolice,15290936,runrocknroll,Rock n Roll Marathon,07-01-2008 19:12,"Running is better with a sound track. For Runners, By Runners. We make running fun.",1110,127419,114.79,>10,0,1,1,AC,65,snapchat: runrocknroll,"portland, oregon",Non-Local,Not Identified
sppdPIO,15371575,spnoir,Tad Vezner,07-09-2008 23:09,"City and east metro reporter at St. Paul Pioneer Press. Sometimes this city's saintly, sometimes it ain't. Hit me: 651 228-5461",206,1468,7.13,2->10,0,1,1,AC,2,"twin cities, minnesota","st. paul, mn",Non-Local,Media
oaklandpoliceca,15640533,sfbart,SFBART,7/29/2008 1:45,"BART provides train service throughout the San Francisco Bay Area. BART ... and you're there. For automated service info only, follow @SFBARTalert",1,147832,147832,>10,0,1,2,AC,2,"oakland, ca","oakland, ca",Local,Not Identified
sppdPIO,15945699,ramseycounty,RamseyCounty,8/22/2008 14:54,"Ramsey County, home to Minnesota's state capital and more than 525,000 residents, is known for vibrant neighborhoods, parks and abundant family activities.",609,8111,13.32,>10,0,1,7,AC,3,twin cities,"st. paul, mn",Non-Local,Other Sectors
PortlandPolice,15985904,project529,Project 529,8/25/2008 19:23,"We live to work. Clock in Clock out. Repeat. It's time to rise. Get out. Crash. Learn Teach Inspire. Time to break the cycle. We work 9 to 5, but we live 529.",927,818,0.88,<1,0,1,5,AC,16,"portland, or","portland, oregon",Local,Not Identified
ScottsdalePD,16020339,scottsdalefire,ScottsdaleFD,8/28/2008 0:54,"Info about SFD incidents, events & safety tips. Links and retweets are not endorsements.",500,4217,8.43,2->10,0,1,1,AC,17,"scottsdale, az","scottsdale, arizona",Local,Not Identified
NYPDnews,16051471,donlemon,Don Lemon,8/30/2008 4:15,CNN Anchor & Twitter King..... Follow me on Instagram: http://t.co/TgjSaXG8oz,15262,307820,20.17,>10,0,1,3,AC,74,nyc,new york city,Non-Local,Media
SLMPD,16101657,hardees,Hardee's,09-02-2008 19:35,"Home of the 100% Black Angus Beef Thickburgerså¨, Hand-Breaded Chicken Tenders‰ã¢ and Made from Scratch Biscuits‰ã¢.",10938,48528,4.44,2->10,0,1,3,AC,16,midwest/southeast u.s./int'l,"st. louis, mo",Local,Other Sectors
StocktonPolice,16129106,usmarinecorps,USMC Recruiting,09-04-2008 14:02,Official account of Marine Corps Recruiting.,182,369152,2028.31,>10,0,1,1,AC,38,"quantico, va","stockton, ca, usa",Non-Local,Politician
detroitpolice,16183690,kimberlygill,Kimberly Gill,09-08-2008 12:44,Trucker turned News Anchor |2x Emmy winner | #TheD | #TheBurgh | #TheLand | #SCarolina #GameCOCK,1608,4385,2.73,2->10,0,1,3,AC,3,"detroit, mi","city of detroit, mi",Local,Media
SFPD,16318114,sfgov,City of SanFrancisco,9/16/2008 21:42,City and County of San Francisco Official News (SFGov). For Service requests send a tweet to the City 311 Service center @SF311,279,110790,397.1,>10,0,1,2,AC,3,"san francisco, ca","san francisco, ca",Local,Media
NYPDnews,16376937,errollouis,Errol Louis,9/20/2008 11:52,"Host of @InsideCityHall on @NY1 News. Director of Urban Reporting, @CUNYJSchool. RTs mean nothing. Send tips to errol.louis@ny1news.com",8640,22553,2.61,2->10,0,1,3,AC,17,new york,new york city,Local,Media
SFPD,16408759,flysfo,flySFO,9/22/2008 19:53,"Official Twitter account of San Francisco International Airport (SFO) - Gateway to the Pacific. Twitter hours are Monday - Friday, 9AM-5PM, excluding holidays.",2763,29633,10.72,>10,0,1,1,AC,22,san francisco int'l airport,"san francisco, ca",Local,Not Identified
PortlandPolice,16457400,abc2020,20/20,9/25/2008 20:32,"Investigative reports and compelling human interest stories. Tweets by @emilyquartaro. Instagram: @ABC2020, Facebook: https://t.co/kjKzQhuvgM",1642,425931,259.4,>10,0,1,4,AC,16,,"portland, oregon",Missing,Not Identified
boulderpolice,16666502,bouldercolorado,City of Boulder,10-09-2008 14:08,The City of Boulder municipal government has served the Boulder community since 1871. Follows and retweets do not imply endorsement.,328,35216,107.37,>10,0,1,2,AC,5,"boulder, colorado","boulder, co",Local,Not Identified
sppdPIO,16875752,xcelenergyctr,Xcel Energy Center,10/20/2008 21:57,"Official Xcel Energy Center Twitter. Home of the @mnwild. Follow us for updates on sporting events, family shows, concerts and much more.",2409,21049,8.74,2->10,0,1,2,AC,4,"saint paul, minnesota","st. paul, mn",Local,Not Identified
sppdPIO,17278675,kstp,KSTP,11-10-2008 02:18,"KSTP-TV Channel 5, the upper Midwest's first commercial television station, is owned by the pioneering broadcasting company Hubbard Broadcasting, Inc.",352,68313,194.07,>10,0,1,1,AC,3,twin cities | minnesota,"st. paul, mn",Non-Local,Not Identified
SLMPD,17296412,stlcc,StL. Comm. College,11-10-2008 22:05,Official twitter account for St. Louis Community College,46,2381,51.76,>10,0,1,1,AC,9,"st. louis, missouri","st. louis, mo",Local,Other Sectors
sppdPIO,17348525,startribune,Star Tribune,11-12-2008 20:55,"Minnesota's top choice for news, features, photos and video. See http://t.co/DKVw7iTGKd to follow our journalists on Twitter.",734,191902,261.45,>10,0,1,1,AC,30,"minneapolis, mn","st. paul, mn",Local,Not Identified
NYPDnews,17393196,nypdnews,NYPD NEWS,11/14/2008 19:00,The official Twitter of the New York City Police Dept. Call 911 for emergencies - 311 for non-emergencies. Account not monitored 24/7. https://t.co/GcXsqNV6EN,256,214455,837.71,>10,0,1,2,AC,165,new york city,new york city,Local,Police
PortlandPolice,17409240,uscoastguard,U.S. Coast Guard,11/15/2008 16:15,"Feed from http://t.co/WPEu5UoHST. For live tweets follow @USCG. This is not an emergency channel. If you are in distress, use VHF Ch. 16 or dial 911.",48,211314,4402.38,>10,0,1,5,AC,47,"washington, d.c.","portland, oregon",Local,Not Identified
NYPDnews,17469289,nypost,New York Post,11/18/2008 19:46,"Breaking news & features from The New York Post, powered 24/7 by our Web team. Follow your favorite celebs at @PageSix & favorite teams at @nypostsports.",40409,946395,23.42,>10,0,1,1,AC,79,"new york, ny",new york city,Local,Media
sppdPIO,17629860,fbi,FBI,11/25/2008 20:13,"Official Twitter Page of the FBI.  If you have a tip, please submit it here: https://t.co/56awXxJrEZ /",2204,1659375,752.89,>10,0,1,2,AC,363,"washington, dc","st. paul, mn",Non-Local,Not Identified
NYPDnews,17997467,nychealthy,nycHealthy,12-09-2008 18:13,"nycHealthy is the official account of the NYC Dept. of Health & Mental Hygiene. 

User Policy: http://t.co/y2O6BKEOkN",480,35324,73.59,>10,0,1,1,AC,23,"new york, ny",new york city,Local,Police
SLMPD,18001465,flystl,Lambert-STL Airport,12-09-2008 20:32,Lambert-St. Louis International Airport serves more than 12 million passengers a year for the metropolitan St. Louis region.,2899,12039,4.15,2->10,0,1,2,AC,27,"st. louis, missouri, usa","st. louis, mo",Local,Not Identified
sppdPIO,18034498,stpaulsaints,St. Paul Saints,12-10-2008 23:39,Member of the American Association of Independent Professional Baseball,3080,15167,4.92,2->10,0,1,5,AC,1,"st. paul, mn","st. paul, mn",Local,Other Sectors
NYPDnews,18192214,nyrr,NewYorkRoadRunners,12/17/2008 16:19,"Our mission is to help and inspire people through running. Our races & fitness programs, draw 300K+ runners annually. #UnitedNYCHalf #TCSNYCMarathon #NYRR",584,60857,104.21,>10,0,1,1,AC,17,new york city,new york city,Local,Other Sectors
NYPDnews,18479513,mlb,MLB,12/30/2008 15:39,Official Twitter account of Major League Baseball. Sweepstakes rules: https://t.co/I5nlK6ZVvd,4594,5829569,1268.95,>10,0,1,3,AC,60,,new york city,Missing,Other Sectors
SLMPD,18481981,kmox,NewsRadio 1120 KMOX,12/30/2008 17:12,The Voice of St. Louis,47,6779,144.23,>10,0,1,3,AC,4,"st. louis, mo","st. louis, mo",Local,Not Identified
PortlandPolice,18642669,oregondot,Oregon DOT,01-05-2009 19:45,"Official Oregon Dept. of Transportation Twitter account. Monitored during business hours only. Road & weather conditions 24/7, use https://t.co/JFOgsHrxum.",420,26494,63.08,>10,0,1,4,AC,12,oregon,"portland, oregon",Local,Police
SpokanePD,18783501,asu,AZ State University,01-08-2009 23:02,Official Twitter of Arizona State University,3179,159241,50.09,>10,0,1,4,AC,2,"tempe, arizona","spokane, wa",Non-Local,Not Identified
PortlandPolice,18904764,lmpd,LMPD,01-12-2009 16:09,Official Twitter of Louisville Metro Police Dept. Account not monitored 24/7. Call 911 for emergency or 502-574-7111 for non-emergency.  CRIME TIPS? 574-LMPD,125,8874,70.99,>10,0,1,1,AC,5,"louisville, kentucky","portland, oregon",Non-Local,Police
NYPDnews,19026815,safehorizon,Safe Horizon,1/15/2009 16:10,Moving victims of violence from crisis to confidence.,831,9676,11.64,>10,0,1,1,AC,89,"new york, ny",new york city,Local,Not Identified
StocktonPolice,19123045,stocktonpolice,Stockton Police Dept,1/17/2009 20:44,"The City of Stockton Police Department 22 E. Market Street Stockton, CA 95202 209-937-8377 #StocktonPD #SPD",1293,21129,16.34,>10,0,1,3,AC,2,"stockton, ca, usa","stockton, ca, usa",Local,Police
CLEpolice,19263978,cavs,Cleveland Cavaliers,1/20/2009 23:15,"The Twitter feed of the Cleveland Cavaliers. By tweeting us, you allow us to use it in any form of media. Become a #Cavs Insider here: https://t.co/f13yaWIirO",1751,1141721,652.04,>10,0,1,3,AC,140,"the q | cleveland, oh","cleveland, oh",Local,Not Identified
SLMPD,19598173,specialolympics,Special Olympics,1/27/2009 15:56,"Revealing the champion inside all of us, every day around the world.",1066,83527,78.36,>10,0,1,2,AC,11,"washington, dc","st. louis, mo",Non-Local,Other Sectors
PortlandPolice,19611483,usairforce,U.S. Air Force,1/27/2009 19:48,"Official U.S. Air Force Twitter (Following, RTs & links ‰äÊ endorsement) #AirForce",733,595886,812.94,>10,0,1,5,AC,47,"air, space and cyberspace","portland, oregon",Local,Not Identified
sppdPIO,19735065,stpaulpublicw,St Paul Public Works,1/29/2009 21:18,"This is the official page of the Saint Paul Public Works Department. Get updates on current activites, snow emergencies, street sweeping and more.",2712,7734,2.85,2->10,0,1,3,AC,15,"saint paul, minnesota","st. paul, mn",Local,Not Identified
sppdPIO,20001563,1500espn_reusse,Patrick Reusse,02-03-2009 20:35,This photo makes me tingle with joy.,483,30209,62.54,>10,0,1,1,AC,11,"st paul, mn","st. paul, mn",Local,Not Identified
NYPDnews,20264905,nyrangers,New York Rangers,02-06-2009 19:47,Official Twitter Account Of The New York Rangers,5823,669207,114.92,>10,0,1,2,AC,180,"new york, ny",new york city,Local,Not Identified
NYPDnews,21034425,ideascale,IdeaScale,2/16/2009 22:05,"We're interested in innovation, crowdsourcing, communities, ideas, and YOU. Learn more about us at http://t.co/wbCeDRmDCS.",439,4366,9.95,2->10,0,1,2,AC,45,"berkeley, ca",new york city,Non-Local,Not Identified
PortlandPolice,21512383,opb,OPB,2/21/2009 20:03,"Oregon Public Broadcasting: Giving voice to the community, connecting Oregon and its neighbors, illuminating a wider world.",905,62245,68.78,>10,0,1,3,AC,27,oregon,"portland, oregon",Local,Other Sectors
CLEpolice,21540911,gcrta,Greater Cleve RTA,2/22/2009 3:13,Largest public transit agency in Ohio,198,7290,36.82,>10,0,1,1,AC,1,"cleveland,ohio","cleveland, oh",Local,Other Sectors
StocktonPolice,21919379,maddonline,MADD,2/25/2009 21:11,"MADD's mission: to end drunk driving, help fight drugged driving, support the victims of these violent crimes and prevent underage drinking.",2374,23433,9.87,2->10,0,1,2,AC,10,"irving, tx","stockton, ca, usa",Non-Local,Other Sectors
NYPDnews,22049097,nycschools,NYC Public Schools,2/26/2009 19:26,"NYC Department of Education, serving 1.1 million students in over 1,800 schools | http://t.co/zyznLPg8g1",255,90413,354.56,>10,0,1,3,AC,36,"new york, ny",new york city,Local,Not Identified
PortlandPolice,22853715,katusteve,Steve Dunn,03-05-2009 00:32,Emmy Award winning Anchor for KATU News,8724,7944,0.91,<1,0,1,4,AC,4,,"portland, oregon",Missing,Media
NYPDnews,23457956,nleomf,NLEOMF,03-09-2009 16:50,Honoring Officers on the Memorial; Hosting National Police Week; Building National Law Enforcement Museum,2223,18607,8.37,2->10,0,1,1,AC,65,"washington, dc",new york city,Non-Local,Police
PortlandPolice,23684880,pdxrosefestival,Rose Festival,03-10-2009 23:52,"As Portland's official city event, the Rose Festival has served families and individuals from Oregon and beyond with events and programs for over 100 years.",2632,6609,2.51,2->10,0,1,1,AC,13,"portland, or","portland, oregon",Local,Not Identified
SLMPD,24048680,thepageantstl,The Pageant,03-12-2009 21:59,"St. Louis' premiere concert nightclub.

All prizes must be picked up at the venue unless otherwise stated.",154,41438,269.08,>10,0,1,4,AC,1,"saint louis, mo","st. louis, mo",Local,Not Identified
NYPDnews,24094444,siadvance,SIAdvance,3/13/2009 1:22,"The Staten Island Advance is the daily newspaper of Staten Island N.Y.

Snapchat: silivedotcom",509,22071,43.36,>10,0,1,2,AC,60,"staten island, n.y.",new york city,Local,Not Identified
StocktonPolice,24252924,sanjosepd,San Jose Police Dept,3/13/2009 20:59,"Official San Jose Police Department information - DO NOT USE TWITTER TO REPORT CRIMES - Call 911 or 408-277-8911, for non-emergencies call 311 or 408-277-8900",100,68381,683.81,>10,0,1,1,AC,22,"san jose, ca","stockton, ca, usa",Local,Not Identified
oaklandpoliceca,24906749,shotspotter,ShotSpotter,3/17/2009 16:24,"SST, Inc. - ShotSpotter - is the world leader in gunshot detection, alert and analysis solutions.",3695,3489,0.94,<1,0,1,5,AC,7,"newark, ca","oakland, ca",Local,Not Identified
PortlandPolice,25101704,seattlepd,Seattle Police Dept.,3/18/2009 16:32,"Seattle Police news/events. Call 911 to report emergencies. Site is not monitored 24/7. Comments, list of followers subject to public disclosure (RCW 42.56).",1909,203490,106.6,>10,0,1,1,AC,63,"seattle, washington","portland, oregon",Non-Local,Police
NYPDnews,25550748,bkcyclones,Brooklyn Cyclones,3/20/2009 18:34,Amazin' Starts Here!,390,15656,40.14,>10,0,1,2,AC,31,"brooklyn, ny",new york city,Non-Local,Not Identified
oaklandpoliceca,26270913,warriors,GoldenStateWarriors,3/24/2009 16:42,2015 NBA Champions ‰Û¢ #DubNation ‰Û¢ #WarriorsGround ‰Û¢ Add us on Snapchat åÈ https://t.co/i8Kpx6vOP6,881,1697703,1927.02,>10,0,1,2,AC,19,"oakland, ca","oakland, ca",Local,Not Identified
BPDVT,26587516,wvnywfff,Local 22 & Local 44,3/25/2009 20:49,"Local 22 and Local 44 is your source for news, weather, and sports in the Champlain Valley, Upper Valley, North Country, Adirondacks, and Montreal.",621,14685,23.65,>10,0,1,3,AC,1,"colchester, vt.","burlington, vermont",Non-Local,Not Identified
NYPDnews,27655610,timessquarenyc,Times Square,3/30/2009 15:19,"The Crossroads of the World.

Follow @TSqArts and @TSqNews for more!",1250,168225,134.58,>10,0,1,1,AC,61,"times square, new york city",new york city,Local,Not Identified
StocktonPolice,28571049,stockton911,Jason Anderson,04-03-2009 14:17,Covering crime and public safety in Stockton.,141,4488,31.83,>10,0,1,1,AC,7,"stockton, ca","stockton, ca, usa",Local,Other Sectors
PortlandPolice,28615495,ppbpio,Portland Police News,04-03-2009 17:53,News Releases from the @PortlandPolice Bureau Public Information Office (PPBPIO).,470,19681,41.87,>10,0,1,1,AC,2,"portland, oregon","portland, oregon",Local,Media
PortlandPolice,28758060,dallaspd,Dallas Police Depart,04-04-2009 07:16,Official Twitter Account for the Dallas Police Dept. THIS ACCT IS NOT MONITORED ON A 24 HOUR BASIS. FOR EMERGENCY CALL 9-1-1.,5704,91637,16.07,>10,0,1,3,AC,44,"dallas, tx","portland, oregon",Non-Local,Police
SFPD,30090529,recparksf,SF Rec and Park,04-09-2009 22:59,"San Francisco Recreation and Park Department oversees 220 parks and recreation facilities, including Golden Gate Park, Coit Tower and the Palace of Fine Arts.",667,14155,21.22,>10,0,1,3,AC,8,"san francisco, california","san francisco, ca",Local,Not Identified
SpokanePD,30313925,whitehouse,The White House,04-10-2009 21:10,"Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr",223,10251546,45971.06,>10,0,1,5,AC,1,"washington, dc","spokane, wa",Non-Local,Not Identified
StocktonPolice,30354991,kamalaharris,Kamala Harris,04-11-2009 00:42,"CA Attorney General. Candidate for US Senate. Dedicated to fighting for justice & giving a voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",667,48115,72.14,>10,0,1,3,AC,3,california,"stockton, ca, usa",Non-Local,Other Sectors
PortlandPolice,31029483,hillsboropolice,Hillsboro Police Dpt,4/14/2009 2:10,Hillsboro Police Department (Oregon),36,4789,133.03,>10,0,1,3,AC,4,"hillsboro, or","portland, oregon",Local,Police
CLEpolice,33179289,clevelandwater,Cleveland Water,4/19/2009 11:15,"Proud to serve safe, quality drinking water 24-7-365. Unfortunately, we can't do that & be on Twitter all day/night so for a water emergency, call 216-664-3060.",696,1820,2.61,2->10,0,1,1,AC,5,"cleveland, ohio","cleveland, oh",Local,Not Identified
SLMPD,34308692,govjaynixon,Governor Jay Nixon,4/22/2009 15:53,Official Twitter feed of Missouri Governor Jay Nixon,209,30377,145.34,>10,0,1,3,AC,3,,"st. louis, mo",Missing,Not Identified
SpokanePD,34421618,spokanecounty,Spokane County,4/22/2009 22:21,,4,3785,946.25,>10,0,1,2,AC,8,washington state,"spokane, wa",Non-Local,Not Provided
SFPD,35423929,sffdnert,SFFD NERT,4/26/2009 7:09,Official account for San Francisco's Neighborhood Emergency Response Team program.,308,2255,7.32,2->10,0,1,3,AC,7,"san francisco, ca","san francisco, ca",Local,Not Identified
NYPDnews,35773039,theatlantic,The Atlantic,4/27/2009 15:41,"Politics, culture, business, science, technology, health, education, global affairs, more. Tweets by @CaitlinFrazier",1023,1265551,1237.1,>10,0,1,3,AC,17,"washington, d.c.",new york city,Local,Not Identified
SLMPD,35810875,stlrcs,STL CRIMESTOPPERS,4/27/2009 18:05,Crime Doesn't Pay... CrimeStoppers Does,1580,1938,1.23,1->2,0,1,1,AC,59,st. louis region,"st. louis, mo",Local,Not Identified
sppdPIO,37032310,cityofsaintpaul,City of Saint Paul,05-01-2009 20:25,The most livable city in America.,600,37828,63.05,>10,0,1,1,AC,4,"saint paul, minnesota","st. paul, mn",Local,Not Identified
ScottsdalePD,37683289,gilbertpolice,Gilbert Police Dept.,05-04-2009 15:30,Tweets not monitored 24/7. The respect for individual rights is the basis of our constitution and the cornerstone of our values at the Gilbert Police Dept.,118,9387,79.55,>10,0,1,6,AC,8,"gilbert, arizona","scottsdale, arizona",Local,Police
